"Pop / Idol , Ballad, Dance","Workwear, Techwear, Dandy"
"Rap/ Hip Hop, R&B / Soul, Rock / Metal","Casual, Workwear, Street"
"Pop, Ballad, R&B / Soul","Casual, Workwear, Chic"
"Pop, Rap/Hiphop, Indie","Casual, Workwear, Street"
"Idol, Ballad, Dance","Casual, Workwear, Dandy"
"Rap/ Hip Hop, R&B / Soul, Rock / Metal","Street, Goth, Dandy"
"Pop, Idol, Ballad","Casual, Street, Vintage"
"Pop, Ballad, Indie","Casual, Workwear, Dandy"
"Pop, Dance, Rock / Metal","Workwear, Street, Dandy"
"Pop, Rap/Hiphop, R&B / Soul","Casual, Street, Dandy"
"Pop, Ballad, Rap/Hiphop","Casual, Grunge, Dandy"
"Pop, Indie, Rock / Metal","Casual, Workwear, Techwear"
"Rap/Hiphop, R&B / Soul, Indie","Street, Grunge, Techwear"
"Idol, Ballad, Dance","Casual, Workwear, Dandy"
"Rap/Hiphop, Indie, Rock / Metal","Street, Vintage, Techwear"
"Ballad, Rap/Hiphop, R&B / Soul","Street, Grunge, Techwear"
"Pop, Ballad","Goth, Techwear"
"Pop, Rap/Hiphop, Rock / Metal","Casual, Athleisure, Street"
"Ballad, Rap/Hiphop, R&B / Soul","Casual, Street, Dandy"
"Ballad, Rap/Hiphop, Indie","Casual, Workwear, Street"
"Pop, Ballad, Dance","Casual, Street, Chic"
"Ballad, Rap/Hiphop, R&B / Soul","Casual, Street, Grunge"
"Pop, Ballad, Rap/Hiphop","Casual, Workwear, Dandy"
"Pop, R&B / Soul, Rock / Metal","Casual, Workwear, Grunge"
"Dance, Rap/Hiphop, Rock / Metal","Workwear, Street, Techwear"
"Pop, Rap/Hiphop, Rock / Metal","Casual, Street, Techwear"
"Idol, Ballad, Indie","Casual, Street, Chic"
"Rap/Hiphop, R&B / Soul, Indie","Workwear, Preppy, Dandy"
"Idol, Ballad, Indie","Casual, Vintage, Chic"
"Rap/Hiphop, R&B / Soul, Indie","Workwear, Street, Chic"
"Pop, Ballad, R&B / Soul","Workwear, Chic, Grunge"
"Idol, Dance, R&B / Soul","Casual, Bohemian, Dandy"
"Pop, Idol, Dance","Casual, Workwear, Athleisure"
"Pop, Idol, Rock / Metal","Casual, Grunge, Dandy"
"Pop, Ballad, Indie","Casual, Techwear, Dandy"
"Pop, R&B / Soul, Rock / Metal","Casual, Workwear, Chic"
"Pop, Idol, Ballad","Casual, Athleisure, Chic"
"Pop, Idol, Dance","Street, Chic, Bohemian"
