What genre of music do you most likely to listen to? 	What kind of fashion style do you like the most? 	What kind of art performances do you like the most? 	What kind of art exhibitions do you like the most?
"Pop / Idol , Ballad, Dance"	"Workwear, Techwear, Dandy"	Music Performances	Sculptures
"Rap/ Hip Hop, R&B / Soul, Rock / Metal"	"Casual, Workwear, Street"	Music Performances	Paintings
"Pop, Ballad, R&B / Soul"	"Casual, Workwear, Chic"	Music Performances	Photography
"Pop, Rap/Hiphop, Indie"	"Casual, Workwear, Street"	Music Performances	Art Design
"Idol, Ballad, Dance"	"Casual, Workwear, Dandy"	Musicals	Art Design
"Rap/ Hip Hop, R&B / Soul, Rock / Metal"	"Street, Goth, Dandy"	Musicals	Photography
"Pop, Idol, Ballad"	"Casual, Street, Vintage"	Music Performances	Photography
"Pop, Ballad, Indie"	"Casual, Workwear, Dandy"	Musicals	"Sculptures, Art Design"
"Pop, Dance, Rock / Metal"	"Workwear, Street, Dandy"	Musicals	Photography
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Street, Dandy"	Musicals	"Photography, Art Design, Architecture"
"Pop, Ballad, Rap/Hiphop"	"Casual, Grunge, Dandy"	Theater	Crafting
"Pop, Indie, Rock / Metal"	"Casual, Workwear, Techwear"	Interdisciplinary Arts	"Paintings, Sculptures, Art Design"
"Rap/Hiphop, R&B / Soul, Indie"	"Street, Grunge, Techwear"	Music Performances	Paintings
"Idol, Ballad, Dance"	"Casual, Workwear, Dandy"	Musicals	Art Design
"Rap/Hiphop, Indie, Rock / Metal"	"Street, Vintage, Techwear"	Music Performances	Art Design
"Ballad, Rap/Hiphop, R&B / Soul"	"Street, Grunge, Techwear"	Music Performances	Paintings
"Pop, Ballad"	"Goth, Techwear"	Interdisciplinary Arts	Photography
"Pop, Rap/Hiphop, Rock / Metal"	"Casual, Athleisure, Street"	Music Performances	
"Ballad, Rap/Hiphop, R&B / Soul"	"Casual, Street, Dandy"	Music Performances	Sculptures
"Ballad, Rap/Hiphop, Indie"	"Casual, Workwear, Street"	Music Performances	Photography
"Pop, Ballad, Dance"	"Casual, Street, Chic"	Dance	"Paintings, Art Design, Architecture"
"Ballad, Rap/Hiphop, R&B / Soul"	"Casual, Street, Grunge"	Music Performances	Art Design
"Pop, Ballad, Rap/Hiphop"	"Casual, Workwear, Dandy"	Theater	Photography
"Pop, R&B / Soul, Rock / Metal"	"Casual, Workwear, Grunge"	Musicals	Photography
"Dance, Rap/Hiphop, Rock / Metal"	"Workwear, Street, Techwear"	Music Performances	Art Design
"Pop, Rap/Hiphop, Rock / Metal"	"Casual, Street, Techwear"	Music Performances	Photography
"Idol, Ballad, Indie"	"Casual, Street, Chic"	Traditional Art	Crafting
"Rap/Hiphop, R&B / Soul, Indie"	"Workwear, Preppy, Dandy"	Music Performances	Photography
"Idol, Ballad, Indie"	"Casual, Vintage, Chic"	Musicals	Photography
"Rap/Hiphop, R&B / Soul, Indie"	"Workwear, Street, Chic"	Music Performances	Art Design
"Pop, Ballad, R&B / Soul"	"Workwear, Chic, Grunge"	Dance	Paintings
"Idol, Dance, R&B / Soul"	"Casual, Bohemian, Dandy"	Theater	Architecture
"Pop, Idol, Dance"	"Casual, Workwear, Athleisure"	Music Performances	Photography
"Pop, Idol, Rock / Metal"	"Casual, Grunge, Dandy"	Music Performances	Art Design
"Pop, Ballad, Indie"	"Casual, Techwear, Dandy"	Music Performances	"Photography, Art Design"
"Pop, R&B / Soul, Rock / Metal"	"Casual, Workwear, Chic"	Theater	Sculptures
"Pop, Idol, Ballad"	"Casual, Athleisure, Chic"	Musicals	Photography
"Pop, Idol, Dance"	"Street, Chic, Bohemian"	Music Performances	"Paintings, Photography"
"Pop, Idol, Ballad"	"Street, Grunge, Techwear"	Dance	"Photography, Art Design"
"Idol, Dance, Rap/Hiphop"	"Casual, Athleisure, Street"	Dance	Photography
"Pop, R&B / Soul, Indie"	"Casual, Workwear, Vintage"	Music Performances	"Paintings, Sculptures, Photography, Art Design, Architecture"
"Pop, Ballad, R&B / Soul"	"Athleisure, Street, Grunge"	Music Performances	"Paintings, Photography"
"Idol, Ballad, Rap/Hiphop"	"Casual, Workwear, Preppy"	Dance	"Paintings, Photography"
"Pop, Dance, R&B / Soul"	"Casual, Workwear, Street"	Dance	"Art Design, Architecture"
"Pop, Idol, Ballad"	"Casual, Workwear, Athleisure"	Music Performances	Architecture
"Pop, Ballad, Instrumental, orchestral, "	"Casual, Chic, Preppy"	Musicals	"Paintings, Sculptures, Photography, Art Design, Crafting, Architecture"
"Idol, Ballad, R&B / Soul"	"Casual, Street, Chic"	Music Performances	Art Design
"Pop, Dance, Kpop "	"Casual, Street, Grunge"	Music Performances	Art Design
"Pop, Ballad, R&B / Soul"	"Casual, Street, Vintage"	Dance	Architecture
"Idol, Ballad, Dance"	"Casual, Chic, Bohemian"	Dance	Photography
"Pop, Indie, TWICE"	"Casual, Workwear, Street"	Music Performances	"Paintings, Sculptures, Photography, Art Design, Crafting, Architecture"
"Pop, R&B / Soul, Rock / Metal"	"Casual, Street, Chic"	Music Performances	"Paintings, Art Design"
"Pop, Idol, Dance"	"Casual, Workwear, Dandy"	Dance	Paintings
"Pop, Ballad, Dance"	"Casual, Workwear, Vintage"	Musicals	Sculptures
"Pop, Ballad, R&B / Soul"	"Casual, Workwear, Dandy"	Musicals	Art Design
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Street, Chic"	Musicals	Paintings
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Workwear, Dandy"	Musicals	Crafting
"Pop, Rap/Hiphop, R&B / Soul"	"Casual, Athleisure, Street"	Dance	"Paintings, Art Design"
"Idol, Dance, Rock / Metal"	"Casual, Athleisure, Vintage"	Dance	Paintings
"Pop, Ballad, R&B / Soul"	"Casual, Vintage, Dandy"	Traditional Art	Crafting
"Pop, Dance, R&B / Soul"	"Casual, Athleisure, Street"	Music Performances	"Art Design, Architecture"
"Pop, Rap/Hiphop, Indie"	"Street, Vintage, Chic"	Music Performances	Paintings
"Idol, Ballad, Dance"	"Street, Vintage, Chic"	Music Performances	"Crafting, Architecture"
"Pop, Ballad, R&B / Soul"	"Casual, Workwear, Goth"	Theater	"Paintings, Sculptures, Photography, Art Design, Crafting, Architecture"
"Pop, Idol, Trot (°??â≠?°??)"	"Casual, Street, Chic"	Music Performances	Photography
"Pop, Ballad, R&B / Soul"	"Casual, Street, Chic"	Music Performances	Paintings
"Idol, Ballad, Dance"	"Street, Vintage, Chic"	Music Performances	Architecture
"Idol, Ballad, Dance"	"Casual, Athleisure, Street"	Dance	Art Design
"Pop, Dance, R&B / Soul"	"Athleisure, Preppy, Bohemian"	Dance	"Photography, Crafting, Architecture"
